Novak Djokovic,Serbia,1
Rafael Nadal,Spain,2
Dominic Thiem,Austria,3
Daniil Medvedev,Russian Federation,4
Roger Federer,Switzerland,5
Stefanos Tsitsipas,Greece,6
Alexander Zverev,Germany,7
Andrey Rublev,Russian Federation,8
Diego Sebastian Schwartzman,Argentina,9
Matteo Berrettini,Italy,10
Gael Monfils,France,11
Denis Shapovalov,Canada,12
Roberto Bautista Agut,Spain,13
David Goffin,Belgium,14
Milos Raonic,Canada,15
Pablo Carreno Busta,Spain,16
Fabio Fognini,Italy,17
Stan Wawrinka,Switzerland,18
Grigor Dimitrov,Bulgaria,19
Karen Khachanov,Russian Federation,20
Felix Auger Aliassime,Canada,21
Christian Garin,Chile,22
Alex De Minaur,Australia,23
John Isner,United States,24
Borna Coric,Croatia,25
Dusan Lajovic,Serbia,26
Casper Ruud,Norway,27
Benoit Paire,France,28
Hubert Hurkacz,Poland,29
Taylor Harry Fritz,United States,30
Filip Krajinovic,Serbia,31
Ugo Humbert,France,32
Daniel Evans,United Kingdom,33
Lorenzo Sonego,Italy,34
Adrian Mannarino,France,35
Jannik Sinner,Italy,36
Jan Lennard Struff,Germany,37
John Millman,Australia,38
Nikoloz Basilashvili,Georgia,39
Reilly Opelka,United States,40
Kei Nishikori,Japan,41
Miomir Kecmanovic,Serbia,42
Marin Cilic,Croatia,43
Guido Pella,Argentina,44
Alexander Bublik,Kazakhstan,45
Albert Ramos,Spain,46
Nick Kyrgios,Australia,47
Richard Gasquet,France,48
Kyle Edmund,United Kingdom,49
Tennys Sandgren,United States,50
Sam Querrey,United States,51
Jordan Thompson,Australia,52
Tommy Paul,United States,53
Alejandro Davidovich Fokina,Spain,54
Marton Fucsovics,Hungary,55
Laslo Djere,Serbia,56
Yoshihito Nishioka,Japan,57
Aljaz Bedene,Slovenia,58
Pablo Andujar,Spain,59
Jo Wilfried Tsonga,France,60
Vasek Pospisil,Canada,61
Frances Tiafoe,United States,62
Feliciano Lopez,Spain,63
Gilles Simon,France,64
Fernando Verdasco,Spain,65
Jeremy Chardy,France,66
Cameron Norrie,United Kingdom,67
Dominik Koepfer,Germany,68
Jiri Vesely,Czech Republic,69
Pablo Cuevas,Uruguay,70
Stefano Travaglia,Italy,71
Ricardas Berankis,Lithuania,72
Marcos Giron,United States,73
Lucas Pouille,France,74
Steve Johnson,United States,75
Salvatore Caruso,Italy,76
Federico Delbonis,Argentina,77
Egor Gerasimov,Belarus,78
Marco Cecchinato,Italy,79
Corentin Moutet,France,80
Juan Ignacio Londero,Argentina,81
Kevin Anderson,South Africa,82
Thiago Monteiro,Brazil,83
Pierre Hugues Herbert,France,84
Radu Albot,"Moldova, Republic of",85
Emil Ruusuvuori,Finland,86
Pedro Martinez Portero,Spain,87
Sebastian Korda,United States,88
Norbert Gombos,Slovakia,89
Mikhail Kukushkin,Kazakhstan,90
Lloyd George Muirhead Harris,South Africa,91
Federico Coria,Argentina,92
Joao Sousa,Portugal,93
Attila Balazs,Hungary,94
Mikael Ymer,Sweden,95
Gianluca Mager,Italy,96
Soon Woo Kwon,"Korea, Republic of",97
Roberto Carballes Baena,Spain,98
Philipp Kohlschreiber,Germany,99
Dennis Novak,Austria,100
Yannick Hanfmann,Germany,101
Andrej Martin,Slovakia,102
Jaume Munar,Spain,103
Yuichi Sugita,Japan,104
James Duckworth,Australia,105
Yasutaka Uchiyama,Japan,106
Andreas Seppi,Italy,107
Pedro Sousa,Portugal,108
Kamil Majchrzak,Poland,109
Ilya Ivashka,Belarus,110
Gregoire Barrere,France,111
Hugo Dellien,"Bolivia, Plurinational State of",112
Aslan Karatsev,Russian Federation,113
Alexei Popyrin,Australia,114
Daniel Elahi Galan Riveros,Colombia,115
Denis Kudla,United States,116
Taro Daniel,Japan,117
