Novak Djokovic,Serbia,12030
Rafael Nadal,Spain,9850
Dominic Thiem,Austria,9125
Daniil Medvedev,Russian Federation,8470
Roger Federer,Switzerland,6630
Stefanos Tsitsipas,Greece,5925
Alexander Zverev,Germany,5525
Andrey Rublev,Russian Federation,4119
Diego Sebastian Schwartzman,Argentina,3455
Matteo Berrettini,Italy,3075
Gael Monfils,France,2860
Denis Shapovalov,Canada,2830
Roberto Bautista Agut,Spain,2710
Milos Raonic,Canada,2580
David Goffin,Belgium,2555
Pablo Carreno Busta,Spain,2535
Fabio Fognini,Italy,2400
Stan Wawrinka,Switzerland,2320
Grigor Dimitrov,Bulgaria,2260
Karen Khachanov,Russian Federation,2245
Felix Auger Aliassime,Canada,2216
Christian Garin,Chile,2170
Alex De Minaur,Australia,1860
Borna Coric,Croatia,1855
John Isner,United States,1850
Dusan Lajovic,Serbia,1785
Casper Ruud,Norway,1739
Benoit Paire,France,1738
Taylor Harry Fritz,United States,1670
Ugo Humbert,France,1646
Filip Krajinovic,Serbia,1628
Daniel Evans,United Kingdom,1589
Lorenzo Sonego,Italy,1568
Hubert Hurkacz,Poland,1518
Adrian Mannarino,France,1516
Jan Lennard Struff,Germany,1450
Jannik Sinner,Italy,1444
John Millman,Australia,1421
Reilly Opelka,United States,1402
Nikoloz Basilashvili,Georgia,1395
Kei Nishikori,Japan,1345
Marin Cilic,Croatia,1325
Guido Pella,Argentina,1310
Miomir Kecmanovic,Serbia,1308
Nick Kyrgios,Australia,1170
Albert Ramos,Spain,1165
Richard Gasquet,France,1145
Kyle Edmund,United Kingdom,1085
Tennys Sandgren,United States,1081
Alexander Bublik,Kazakhstan,1070
Jordan Thompson,Australia,1068
Alejandro Davidovich Fokina,Spain,1066
Sam Querrey,United States,1065
Tommy Paul,United States,1065
Marton Fucsovics,Hungary,1062
Yoshihito Nishioka,Japan,1062
Laslo Djere,Serbia,1058
Aljaz Bedene,Slovenia,1045
Frances Tiafoe,United States,1030
Pablo Andujar,Spain,1024
Vasek Pospisil,Canada,1006
Jo Wilfried Tsonga,France,1005
Gilles Simon,France,1005
Feliciano Lopez,Spain,998
Fernando Verdasco,Spain,975
Dominik Koepfer,Germany,921
Pablo Cuevas,Uruguay,917
Jiri Vesely,Czech Republic,913
Ricardas Berankis,Lithuania,889
Lucas Pouille,France,880
Cameron Norrie,United Kingdom,877
Steve Johnson,United States,870
Marcos Giron,United States,869
Stefano Travaglia,Italy,869
Jeremy Chardy,France,860
Salvatore Caruso,Italy,843
Corentin Moutet,France,838
Egor Gerasimov,Belarus,834
Juan Ignacio Londero,Argentina,832
